"site_id","entity_id","latitude","longitude","elevation","geology","cover_thickness","distance_entrance","elevation_sim","mineralogy","temp_ds","prec_ds","isot_ds","itps_ds","temp_full","prec_full","isot_full","itps_full","winter_prec"
"244","528","38.1667","113.7167","1200","limestone","NULL","NULL","943.0811","calcite","10.2603","2.0615","-8.3988","-8.0264","10.3533","2.0651","-8.3561","-8.006","0.2794"
"248","538","28.333","103.1","1407","limestone","NULL","NULL","2491.1702","calcite","9.9735","4.1264","-6.1079","-8.3646","9.9785","4.1236","-6.1034","-8.3548","0.6137"
"248","539","28.333","103.1","1407","limestone","NULL","NULL","2491.1702","calcite","9.997","4.1366","-6.0965","-8.3495","9.9785","4.1236","-6.1034","-8.3548","0.6137"
"249","541","28.183","107.167","970","unknown","NULL","NULL","909.1011","calcite","15.5142","4.5618","-5.3698","-7.3198","15.5128","4.5612","-5.3675","-7.3171","0.9974"
"251","544","38.25","113.7","975","mixed","NULL","NULL","909.8643","calcite","10.4522","2.0517","-8.3366","-7.9944","10.4987","2.0615","-8.3255","-7.9806","0.2796"
"253","546","12.5866","54.3543","335","limestone","NULL","200","0","calcite","26.6129","0.2779","-3.5063","-3.2625","26.6445","0.276","-3.463","-3.2167","0.2347"
"253","547","12.5866","54.3543","335","limestone","NULL","2000","0","calcite","26.6577","0.2726","-3.5127","-3.2442","26.6445","0.276","-3.463","-3.2167","0.2347"
"253","548","12.5866","54.3543","335","limestone","NULL","2000","0","calcite","26.6689","0.2747","-3.4139","-3.1749","26.6445","0.276","-3.463","-3.2167","0.2347"
"258","560","49","7","185","limestone","NULL","NULL","260.2625","calcite","11.2115","2.4351","-7.853","-7.9518","11.2134","2.446","-7.8478","-7.9493","2.887"
"262","564","50.4244","11.0203","500","limestone","65","NULL","84.7713","calcite","10.4054","1.9218","-7.9973","-8.0705","10.3913","1.9196","-8.0017","-8.0704","2.2268"
"269","573","35.8","45.1645","650","limestone","20","NULL","1151.1743","calcite","15.8555","1.0993","-4.242","-5.9881","15.8677","1.0967","-4.2413","-5.9824","1.669"
"272","576","-41.93","171.47","60","limestone","NULL","NULL","29.8392","calcite","16.5582","3.7707","-6.6003","-6.8146","16.5557","3.7729","-6.6007","-6.8142","3.1379"
"273","577","36.59","-118.82","1386","unknown","70","150","949.4203","calcite","15.9107","1.0887","-9.1768","-8.0134","15.9126","1.085","-9.1773","-8.0115","2.3407"
"215","588","33.9558","-4.2461","1260","dolomite","NULL","300","348.2063","aragonite","20.9766","0.949","-5.27","-6.5729","20.9148","0.9494","-5.2542","-6.5726","1.3916"
"215","589","33.9558","-4.2461","1260","dolomite","NULL","300","348.2063","aragonite","20.9001","0.9491","-5.2827","-6.5804","20.9148","0.9494","-5.2542","-6.5726","1.3916"
"192","592","-5.93","-77.3","860","unknown","NULL","NULL","723.8676","calcite","24.5059","5.8905","-7.4454","-8.614","24.5583","5.885","-7.4478","-8.6065","7.5387"
"276","595","48.4833","20.5167","338","limestone","45","100","339.2067","calcite","10.573","2.0702","-8.8012","-9.0268","10.626","2.1018","-8.8503","-9.0573","2.0567"
"277","598","-11.27","-75.79","3850","dolomite","NULL","650","868.5853","calcite","21.6927","2.3485","-5.7896","-6.4676","21.6913","2.3491","-5.7881","-6.4679","2.4088"
"278","613","32","-105.2","1900","unknown","NULL","NULL","1353.0039","calcite","19.3954","0.9686","-8.037","-7.9726","19.3927","0.9673","-8.0208","-7.96","0.6715"
"2","620","42.87","81.75","2000","unknown","NULL","NULL","1414.2206","calcite","6.0819","1.0343","-9.4786","-10.0195","6.039","1.0336","-9.4966","-10.026","0.9912"
"2","621","42.87","81.75","2000","unknown","NULL","NULL","1414.2206","calcite","6.0627","1.0291","-9.4771","-10.0022","6.039","1.0336","-9.4966","-10.026","0.9912"
"2","623","42.87","81.75","2000","unknown","NULL","NULL","1414.2206","calcite","6.0417","1.0355","-9.5011","-10.0335","6.039","1.0336","-9.4966","-10.026","0.9912"
"286","650","43.4306","-3.6658","85","limestone","91","100","717.9037","calcite","11.8123","2.2736","-7.7173","-8.1911","11.7999","2.281","-7.7275","-8.1969","2.3149"
"293","672","20.75","102.65","352","limestone","NULL","200","918.1364","calcite","20.8278","3.707","-4.7492","-7.5463","20.8359","3.6985","-4.7333","-7.5431","0.688"
"82","673","-41.95","171.47","100","limestone","NULL","NULL","28.7922","calcite","16.4954","3.7677","-6.588","-6.7909","16.5645","3.771","-6.6009","-6.8153","3.1346"
